Name,Continent,Team,Pos,Age,MP,Starts,Min,CrdY,CrdR,PrgC,PrgP,PrgG,G.A.PK_90
Jaidon Anthony,Europe,BOU,FW,23,3,2,152,1,0,2,8,9,0
Joe Rothwell,Europe,BOU,MF,28,11,3,386,0,0,6,20,3,0
Alex Scott,Europe,BOU,MF,19,23,11,1014,3,0,24,50,35,0.18
Max Aarons,Europe,BOU,DF,23,20,13,1237,1,0,22,43,26,0.07
Lloyd Kelly,Europe,BOU,DF,24,23,17,1559,2,0,15,56,28,0.06
Marcus Tavernier,Europe,BOU,FW,24,30,25,2118,3,0,79,84,171,0.3
Adam Smith,Europe,BOU,DF,32,28,25,2150,6,0,24,89,28,0.08
Lewis Cook,Europe,BOU,MF,26,33,32,2786,5,1,22,142,15,0.1
Dominic Solanke,Europe,BOU,FW,25,38,37,3325,3,0,52,60,184,0.54
Antoine Semenyo,Africa,BOU,FW,23,33,25,2105,6,0,89,64,188,0.43
Milos Kerkez,Europe,BOU,DF,19,28,22,1970,4,1,46,44,93,0.05
Justin Kluivert,Europe,BOU,MFFW,24,32,26,1916,5,0,65,50,114,0.38
Ryan Christie,Europe,BOU,MF,28,37,35,2907,6,0,60,167,78,0.15
Enes Ünal,Europe,BOU,FWMF,26,16,2,328,1,0,4,7,28,1.1
Illia Zabarnyi,Europe,BOU,DF,20,37,37,3330,5,0,24,109,1,0.03
Tyler Adams,North America,BOU,MF,24,3,1,121,0,0,4,5,1,0
Kieffer Moore,Europe,BOU,FWMF,30,8,0,108,0,0,2,4,15,0.83
David Brooks,Europe,BOU,FWMF,26,13,2,282,1,0,8,21,27,0.64
Chris Mepham,Europe,BOU,DF,25,10,6,617,2,0,4,25,1,0.15
Bryan Mbeumo,Africa,BRE,FW,23,25,22,1960,2,0,74,88,195,0.55
Yoane Wissa,Africa,BRE,FW,26,34,29,2493,7,0,45,48,150,0.54
Mikkel Damsgaard,Europe,BRE,MF,23,23,7,842,2,0,16,61,32,0.21
